               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0888,            0.039037,            0.059194,            0.017951,             0.28671,            0.012098,           0.0024634,            0.066656,            0.033669,            0.047175,           0.0033097,           0.0033097,            0.070213
                   1,             0.07911,            0.042136,            0.054292,            0.017629,             0.17483,            0.011632,           0.0035757,            0.067101,            0.027796,            0.034199,           0.0065773,           0.0065773,            0.040147
                   2,            0.069296,            0.042038,            0.042493,            0.067767,             0.26573,            0.050235,            0.011796,             0.05819,             0.03161,           0.0058771,           0.0097788,           0.0097788,            0.010015
                   3,            0.062311,            0.042329,            0.025214,            0.043023,            0.041958,            0.013125,           0.0033544,            0.048093,            0.032552,            0.032231,            0.009703,            0.009703,            0.009703
                   4,             0.06058,            0.039074,            0.013458,             0.15299,             0.53147,              0.1389,            0.035735,            0.041513,            0.034583,           0.0055291,            0.009703,            0.009703,            0.009703
                   5,            0.059047,            0.036555,           0.0080297,              0.1551,             0.41463,             0.14389,            0.037119,            0.039344,            0.036355,           0.0045001,            0.009604,            0.009604,            0.009604
                   6,            0.054041,            0.035699,           0.0053173,             0.13902,             0.20777,             0.06827,            0.016654,            0.049334,            0.030004,            0.012465,            0.009505,            0.009505,            0.009505
                   7,             0.05428,            0.033679,           0.0049722,             0.13655,            0.062937,            0.069935,            0.013015,            0.051527,            0.029832,            0.005194,            0.009406,            0.009406,            0.009406
                   8,            0.051189,             0.03346,           0.0036334,             0.11424,             0.33566,            0.080945,             0.01816,            0.047325,            0.021672,           0.0020694,            0.009307,            0.009307,            0.009307
                   9,            0.050607,            0.031718,           0.0028343,             0.50043,             0.79159,             0.62474,             0.23246,            0.033175,            0.022061,           0.0017555,            0.009208,            0.009208,            0.009208
                  10,             0.04867,            0.030958,           0.0028973,             0.21876,             0.24476,             0.12979,            0.023577,            0.055861,            0.021766,           0.0018593,            0.009109,            0.009109,            0.009109
                  11,            0.047892,            0.030016,           0.0022741,             0.63945,             0.88057,             0.69344,             0.26953,            0.036504,            0.019808,           0.0014939,             0.00901,             0.00901,             0.00901
                  12,             0.04847,            0.029557,           0.0023441,              0.3784,             0.36364,             0.30712,             0.07283,            0.041096,            0.028058,           0.0016562,            0.008911,            0.008911,            0.008911
                  13,            0.044642,             0.02852,           0.0023281,             0.53329,             0.61538,             0.45792,             0.13091,            0.036769,            0.024976,           0.0017242,            0.008812,            0.008812,            0.008812
